ingredient_id,canonical_name,synonyms
INCI_00188,potassium azeloyl diglycinate,['potassium azeloyl diglycinate']
INCI_00189,probiotics,['probiotics']
INCI_00190,prickly pear extract,['prickly pear extract']
INCI_00191,snow mushroom extract,['snow mushroom extract']
INCI_00192,prebiotics,['prebiotics']
INCI_00193,shea butter,['shea butter']
INCI_00194,sesame seed oil,['sesame seed oil']
INCI_00195,silk protein,['silk protein']
INCI_00196,sh-oligopeptide,['sh-oligopeptide']
INCI_00197,serine,['serine']
INCI_00198,sea buckthorn water,['sea buckthorn water']
INCI_00199,saskatoon berry,['saskatoon berry']
INCI_00200,salicylic acid,['salicylic acid']
INCI_00201,rosemary leaf extract,['rosemary leaf extract']
INCI_00202,safflower seed oil,['safflower seed oil']
INCI_00203,saccharomyces cerevisiae (yeast) extract,['saccharomyces cerevisiae (yeast) extract']
INCI_00204,sacred lotus flower extract,['sacred lotus flower extract']
INCI_00205,tasmanian pepperberry extract,['tasmanian pepperberry extract']
INCI_00206,tartaric acid,['tartaric acid']
INCI_00207,rhamnose,['rhamnose']
INCI_00208,sweet almond oil,['sweet almond oil']
INCI_00209,symsitive,['symsitive']
INCI_00210,sugar cane extract,['sugar cane extract']
INCI_00211,superoxide dismutase,['superoxide dismutase']
INCI_00212,sunflower oil,['sunflower oil']
INCI_00213,spent grain wax,['spent grain wax']
INCI_00214,sulfur,['sulfur']
INCI_00215,squalane,['squalane']
INCI_00216,urea,['urea']
INCI_00217,sodium lactate,['sodium lactate']
INCI_00218,turmeric root extract,['turmeric root extract']
INCI_00219,valine,['valine']
INCI_00220,trehalose,['trehalose']
INCI_00221,tripleurospermum maritimum extract,['tripleurospermum maritimum extract']
INCI_00222,triazine diethyl butamidotriazone,['triazine diethyl butamidotriazone']
INCI_00223,thiamidol,['thiamidol']
INCI_00224,tranexamic acid,['tranexamic acid']
INCI_00225,tomato stem cells,['tomato stem cells']
INCI_00226,teprenone,['teprenone']
INCI_00227,threonine,['threonine']
INCI_00228,zinc gluconate,['zinc gluconate']
INCI_00229,tetrahexyldecyl ascorbate,['tetrahexyldecyl ascorbate']
INCI_00230,zinc,['zinc']
INCI_00231,yerba mate extract,['yerba mate extract']
INCI_00232,yeast amino acids,['yeast amino acids']
INCI_00233,willow herb extract,['willow herb extract']
INCI_00234,willow bark extract,['willow bark extract']
INCI_00235,wild cherry extract,['wild cherry extract']
INCI_00236,white tea,['white tea']
INCI_00237,vitamin k1,['vitamin k1']
INCI_00238,vitamin e,['vitamin e']
INCI_00239,vitamin c,['vitamin c']
INCI_00240,vitamin b5,['vitamin b5']
INCI_00241,vitamin a,['vitamin a']
INCI_00242,vibrio alginolyticus ferment filtrate,['vibrio alginolyticus ferment filtrate']
INCI_00243,tea tree oil,['tea tree oil']
INCI_00244,zinc sulfate,['zinc sulfate']
INCI_00245,zinc pca,['zinc pca']
INCI_00246,neoglucosamine,['neoglucosamine']
INCI_00247,taurine,['taurine']
INCI_00248,sodium ascorbyl phosphate,['sodium ascorbyl phosphate']
